Bandit,Reward,Algorithm
3,4.315178533887711,Thompson-Sampling
3,3.433960292940066,Thompson-Sampling
3,6.091822033153452,Thompson-Sampling
3,3.829069889954532,Thompson-Sampling
3,3.566586042618137,Thompson-Sampling
3,3.1285871976276822,Thompson-Sampling
3,4.69107942237839,Thompson-Sampling
3,3.5157142273253097,Thompson-Sampling
3,3.7589272630900448,Thompson-Sampling
3,2.6483216626364356,Thompson-Sampling
3,3.7395376475637696,Thompson-Sampling
3,3.9140915556702645,Thompson-Sampling
3,4.62116090884045,Thompson-Sampling
3,4.327669089931235,Thompson-Sampling
3,4.386453639489711,Thompson-Sampling
3,4.61247589009653,Thompson-Sampling
3,3.871614487747309,Thompson-Sampling
3,3.7557195469339297,Thompson-Sampling
3,3.758133621707521,Thompson-Sampling
3,4.798669437592956,Thompson-Sampling
3,3.0863504141731397,Thompson-Sampling
3,2.091479892115119,Thompson-Sampling
3,4.3772620521035215,Thompson-Sampling
3,5.055623194921798,Thompson-Sampling
3,4.944722014756011,Thompson-Sampling
3,4.5473551807115875,Thompson-Sampling
3,3.5531260633181567,Thompson-Sampling
3,4.129838224232864,Thompson-Sampling
3,2.7758698483136306,Thompson-Sampling
3,1.808344200757233,Thompson-Sampling
3,4.091979931977074,Thompson-Sampling
3,4.029896219600837,Thompson-Sampling
3,3.113978474475869,Thompson-Sampling
3,3.6428050344111744,Thompson-Sampling
3,4.453303966674538,Thompson-Sampling
3,3.4013281603786596,Thompson-Sampling
3,2.591700139841058,Thompson-Sampling
3,5.1454536141787495,Thompson-Sampling
3,3.375015455819577,Thompson-Sampling
3,3.9901081994623295,Thompson-Sampling
3,3.2459793273961957,Thompson-Sampling
3,5.024721252647497,Thompson-Sampling
3,3.5700828276710075,Thompson-Sampling
3,4.157423242321095,Thompson-Sampling
3,5.495257077823817,Thompson-Sampling
3,4.598385871408132,Thompson-Sampling
3,5.32689502078968,Thompson-Sampling
3,3.1866190030053314,Thompson-Sampling
3,3.411272569965871,Thompson-Sampling
3,4.544962083346175,Thompson-Sampling
3,4.0048265630523625,Thompson-Sampling
3,3.4756744842155376,Thompson-Sampling
3,4.1598930255450375,Thompson-Sampling
3,3.0472857077510853,Thompson-Sampling
3,3.972074306194931,Thompson-Sampling
3,4.601387882385521,Thompson-Sampling
3,3.5646879842234953,Thompson-Sampling
3,4.531942061642901,Thompson-Sampling
3,4.626008258562859,Thompson-Sampling
3,4.2251905532706076,Thompson-Sampling
3,4.023578056788723,Thompson-Sampling
3,4.581781789002738,Thompson-Sampling
3,3.092338538645052,Thompson-Sampling
3,2.885162157131909,Thompson-Sampling
3,4.850206531427727,Thompson-Sampling
3,3.6532496141520405,Thompson-Sampling
3,4.59816490194605,Thompson-Sampling
3,4.349127730742266,Thompson-Sampling
3,4.557905636958048,Thompson-Sampling
3,2.7123569720711744,Thompson-Sampling
3,2.7877140061654084,Thompson-Sampling
3,4.702067554532457,Thompson-Sampling
3,4.162873108156912,Thompson-Sampling
3,4.360409254014591,Thompson-Sampling
3,5.386175741816956,Thompson-Sampling
3,3.227808429897404,Thompson-Sampling
3,4.5805922821946,Thompson-Sampling
3,5.353159955240502,Thompson-Sampling
3,4.5634636946257086,Thompson-Sampling
3,3.7975572216726485,Thompson-Sampling
3,3.0413861273133858,Thompson-Sampling
3,2.7731320843827225,Thompson-Sampling
3,2.199514293180761,Thompson-Sampling
3,4.309043628300873,Thompson-Sampling
3,2.487273355766737,Thompson-Sampling
3,4.137671215291135,Thompson-Sampling
3,4.1815516100770775,Thompson-Sampling
3,3.9346036920712497,Thompson-Sampling
3,2.8993163373142234,Thompson-Sampling
3,3.2411430951275655,Thompson-Sampling
3,4.979979243540689,Thompson-Sampling
3,4.0718367640566155,Thompson-Sampling
3,3.6920858184217877,Thompson-Sampling
3,3.267832922521205,Thompson-Sampling
3,5.8945962633865765,Thompson-Sampling
3,5.825826106335475,Thompson-Sampling
3,3.870144334649196,Thompson-Sampling
3,3.1587556521009197,Thompson-Sampling
3,3.9785511266640796,Thompson-Sampling
3,2.950968177447834,Thompson-Sampling
3,2.668789442498918,Thompson-Sampling
3,3.425892107514728,Thompson-Sampling
3,3.2569791423699637,Thompson-Sampling
3,4.510303731887478,Thompson-Sampling
3,3.4516640064027317,Thompson-Sampling
3,3.5394627072254266,Thompson-Sampling
3,5.813909797083075,Thompson-Sampling
3,4.720111963881381,Thompson-Sampling
3,5.45040539800039,Thompson-Sampling
3,2.97318675651273,Thompson-Sampling
